City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Viedma,AR,76.28,few clouds,-40.8135,-62.9967,Hotel Cristal
Padang,ID,76.44,overcast clouds,-0.9492,100.3543,Mercure Padang
San Rafael,AR,74.44,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
Lodwar,KE,82.85,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
Eureka,US,74.17,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
Tura,IN,73.65,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
Makurdi,NG,74.77,few clouds,7.7411,8.5121,Doo Palace Hotel
Anton Lizardo,MX,84.42,overcast clouds,19.05,-95.9833,Hotel CocoAventura
Guerrero Negro,MX,82.74,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
Garissa,KE,73.49,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
Nokaneng,BW,70.97,clear sky,-19.6667,22.2667,
Sibolga,ID,75.81,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
Conde,BR,71.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
Takoradi,GH,74.5,broken clouds,4.8845,-1.7554,Raybow International Hotel
Kolondieba,ML,75.24,overcast clouds,11.0882,-6.8926,
Nautla,MX,84.74,scattered clouds,20.2167,-96.7833,Casa Blanca
Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
Tortoli,IT,76.82,clear sky,39.9256,9.6572,Hotel La Bitta
Matagami,CA,71.71,clear sky,49.7502,-77.6328,Motel Le Caribou
Qianjiang,CN,70.56,scattered clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
Mao,ES,79.36,scattered clouds,39.8885,4.2658,ARTIEM Capri
Shache,CN,75.7,scattered clouds,38.4167,77.2406,Delong Hotel
Trincomalee,LK,79.03,light rain,8.5711,81.2335,Welcombe Hotel
Puerto Asis,CO,79.81,broken clouds,0.5133,-76.5007,Ayawaska Hostal
Galle,LK,77.16,overcast clouds,6.0367,80.217,Amangalla
Rabo De Peixe,PT,71.11,few clouds,37.8,-25.5833,Quinta das Giestas
Tomatlan,MX,80.89,overcast clouds,19.9333,-105.25,El Salvial
Tateyama,JP,77.09,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
